"id";"event_id";"bib";"video_count";"videoname";"upload_time";"orientation";"screen_id";"played_time";"played";"detection_time";"detection";"ready";"approved";"trash";"remark"
"119";;"25623";"1";"25623-1.mov";"2025-10-01 21:16:41";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"120";;"29493";"1";"29493-1.mov";"2025-10-01 21:23:24";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"121";;"1694";"1";"1694-1.mp4";"2025-10-01 21:26:56";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"122";;"1713";"1";"1713-1.mp4";"2025-10-01 21:27:17";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"123";;"1728";"1";"1728-1.mp4";"2025-10-01 21:27:41";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"124";;"1743";"1";"1743-1.mp4";"2025-10-01 21:28:01";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"125";;"1762";"1";"1762-1.mp4";"2025-10-01 21:28:21";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"126";;"1765";"1";"1765-1.mp4";"2025-10-01 21:28:38";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"127";;"2373";"1";"2373-1.mp4";"2025-10-01 21:29:26";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"128";;"3385";"1";"3385-1.mp4";"2025-10-01 21:29:41";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"129";;"9048";"1";"9048-1.mp4";"2025-10-01 21:30:00";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"130";;"33436";"1";"33436-1.mp4";"2025-10-01 21:30:21";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"gruppe"
"131";;"28015";"1";"28015-1.mov";"2025-10-01 21:45:46";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"132";;"17555";"1";"17555-1.mov";"2025-10-02 06:41:50";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"133";;"2943";"1";"2943-1.mov";"2025-10-02 09:46:59";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Podcast mit Banane"
"134";;"4945";"1";"4945-1.mov";"2025-10-02 09:48:21";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"135";;"11364";"1";"11364-1.mp4";"2025-10-02 10:19:10";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"136";;"2736";"1";"2736-1.mp4";"2025-10-02 10:26:33";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Süße Kinder mit Zauberspruch!"
"137";;"28049";"1";"28049-1.mov";"2025-10-02 10:31:55";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"138";;"22098";"1";"22098-1.mov";"2025-10-02 10:51:00";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"139";;"14645";"1";"14645-1.mp4";"2025-10-02 11:01:38";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"140";;"24691";"1";"24691-1.mov";"2025-10-02 11:10:57";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"141";;"22986";"1";"22986-1.mp4";"2025-10-02 11:16:50";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Team Kira"
"142";;"19356";"1";"19356-1.mp4";"2025-10-02 11:30:03";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"virtueller Power-Up Stern"
"143";;"299";"1";"299-1.MOV";"2025-10-02 11:46:47";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Run Paul Run"
"144";;"3597";"1";"3597-1.MOV";"2025-10-02 11:49:13";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"145";;"20695";"1";"20695-1.mov";"2025-10-02 11:55:30";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
